         4809 function calls (4767 primitive calls) in 0.039 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.022    0.000    0.023    0.000 {built-in method io.open}
       65    0.003    0.000    0.003    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       24    0.002    0.000    0.002    0.000 {built-in method nt.stat}
        3    0.002    0.001    0.002    0.001 {built-in method builtins.print}
        8    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        2    0.001    0.000    0.001    0.001 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Memory.py:12(__init__)
        8    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       40    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
        1    0.000    0.000    0.038    0.038 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Main.py:1(<module>)
       68    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       12    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       32    0.000    0.000    0.014    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:20(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.001    0.001 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Register.py:1(<module>)
        1    0.000    0.000    0.025    0.025 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:1(<module>)
       68    0.000    0.000    0.001    0.000 C:\Python\Python39\lib\_bootlocale.py:11(getpreferredencoding)
        8    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:916(get_code)
     1231    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       32    0.000    0.000    0.011    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:33(__init__)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     1046    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      8/1    0.000    0.000    0.039    0.039 <frozen importlib._bootstrap>:1002(_find_and_load)
       64    0.000    0.000    0.024    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:9(__init__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       13    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      8/1    0.000    0.000    0.039    0.039 <frozen importlib._bootstrap>:659(_load_unlocked)
       21    0.000    0.000    0.001    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Decode.py:42(Decode_Instruction)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      160    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       65    0.000    0.000    0.000    0.000 C:\Python\Python39\lib\codecs.py:186(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       96    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
       20    0.000    0.000    0.001    0.000 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\ALU.py:53(ALU_Perform_Operation)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      8/1    0.000    0.000    0.039    0.039 <frozen importlib._bootstrap_external>:844(exec_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       16    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      8/1    0.000    0.000    0.039    0.039 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      136    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        8    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      8/1    0.000    0.000    0.038    0.038 {built-in method builtins.exec}
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.001    0.001 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:48(OP_Write_to_File)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.002    0.002 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\ALU.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.002    0.002 d:\College\IIITD\Others\OOPD_Exec\SOC_Redesign\Port.py:37(Set_Output_Port)
       56    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      114    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       24    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
